,maxAccelX,maxAccelY,maxAccelZ,maxGyroX,maxGyroY,maxGyroZ,minAccelX,minAccelY,minAccelZ,minGyroX,minGyroY,minGyroZ,meanAccelX,meanAccelY,meanAccelZ,meanGyroX,meanGyroY,meanGyroZ,sdAccelX,sdAccelY,sdAccelZ,sdGyroX,sdGyroY,sdGyroZ,lat,lng,pothole
0,4.453125,8.375,28.671875,0.9306640625,3.39697265625,1.63232421875,-2.203125,-7.140625,11.3125,-1.22265625,-0.68115234375,-1.17529296875,0.9734375,-1.175,17.8765625,-0.094189453125,0.445068359375,0.30625,2.406645101941993,4.017173690768867,6.215435892813441,0.5808676174011996,1.2087501870135138,0.8869745588528257,39.9875302,18.246275700000005,1
1,4.203125,11.90625,23.375,0.3974609375,0.400390625,1.533203125,-3.359375,-6.046875,14.265625,-1.2392578125,-1.78955078125,-0.76513671875,0.0734375,0.2390625,16.2578125,-0.208544921875,-0.23779296875,0.1923828125,2.1678063158617924,4.766629846248378,2.6139944763514387,0.516779904108114,0.661784454610627,0.6501947616534581,39.98753023,18.24627525,1
2,-0.0625,-0.15625,15.609375,-0.00390625,0.01318359375,0.00830078125,-0.25,-0.40625,15.375,-0.005859375,0.01025390625,0.00439453125,-0.15625,-0.33125,15.496875,-0.00478515625,0.0109375,0.00673828125,0.0646337169062023,0.0678284191504154,0.0870898123586603,0.0005543420040991,0.0009264485332524,0.0013182589017784,39.9875303,18.246274199999995,0
3,-0.046875,-0.296875,15.46875,0.00146484375,0.01416015625,0.00634765625,-0.296875,-0.46875,15.25,-0.0048828125,-0.0009765625,-0.00244140625,-0.2140625,-0.3609375,15.3484375,-0.002099609375,0.005810546875,0.00283203125,0.0765642715214551,0.0680878785202541,0.0859138224957622,0.0025009026487312,0.0062887474175945,0.0030605883524851,39.9875303,18.246274199999995,0
4,-0.0625,-0.234375,15.609375,0.00048828125,0.0009765625,0.00146484375,-0.40625,-0.421875,15.296875,-0.00048828125,-0.013671875,-0.00732421875,-0.203125,-0.3484375,15.4546875,0.00029296875,-0.001953125,-0.0015625,0.1009933303628402,0.0629540796599659,0.0989446262436722,0.0004117549036677,0.0043429896042077,0.0025403141946779,39.9875303,18.246274199999995,0
5,0.25,1.328125,15.859375,0.32763671875,0.17529296875,0.97412109375,-1.53125,-0.90625,15.078125,-0.107421875,-0.095703125,-0.1416015625,-0.3296875,0.09375,15.44375,0.038037109375,-0.00546875,0.2427734375,0.5305576575183785,0.8068379101123375,0.2918712080410353,0.1180879149623831,0.0711565757821816,0.3287570094274709,39.9875303,18.246274199999995,0
6,0.140625,1.46875,15.890625,0.11767578125,0.111328125,0.2646484375,-0.546875,0.125,14.875,-0.13525390625,-0.1220703125,0.0205078125,-0.1828125,0.8640625,15.4359375,-0.00302734375,0.004931640625,0.111767578125,0.23947574577084,0.464684335993861,0.3140974793953304,0.0799671593122319,0.0690823354185003,0.0629541848593876,39.9875303,18.246274199999995,0
7,1.9375,1.59375,16.53125,0.32763671875,0.431640625,0.08251953125,-1.75,-0.875,13.671875,-0.30078125,-0.39208984375,-0.53271484375,-0.1609375,0.475,14.921875,-0.007861328125,-0.038330078125,-0.22001953125,1.399444372939271,0.6256160158640087,0.919414678311394,0.1833776839392931,0.2366038553855527,0.1910716066018692,39.9875303,18.246274199999995,0
8,16.578125,20.671875,32.0,2.0048828125,2.3115234375,0.85888671875,-2.90625,-4.0625,2.734375,-3.849609375,-1.97412109375,-0.791015625,2.5828125,2.525,12.5828125,-0.087890625,0.1109375,-0.059375,5.986403367809261,7.127456021630564,10.238701243160746,1.675363436693471,1.4340553808544725,0.5619096460199416,39.9875303,18.246274199999995,1
9,2.640625,6.9375,31.96875,1.65869140625,2.1572265625,0.45361328125,-3.40625,-0.640625,2.796875,-1.55615234375,-1.9140625,-0.82177734375,-0.5703125,2.175,14.3125,-0.06796875,0.0876953125,-0.02978515625,2.106051265146129,2.533272511605405,8.656604109283334,1.0176355997760758,1.4325658214478754,0.3538820956017466,39.9875303,18.246274199999995,1
10,4.15625,2.890625,32.0,0.31005859375,0.41162109375,0.25244140625,-4.5625,-3.5,11.65625,-0.59375,-1.7900390625,-0.470703125,-1.659375,-0.725,16.34375,0.002978515625,-0.19482421875,-0.138623046875,2.5492416151671464,1.8702225014316107,5.643223758842202,0.2884223379088053,0.6083961297636588,0.2811577209921866,39.9875303,18.246274199999995,1
11,3.859375,6.4375,30.859375,1.7138671875,3.22021484375,0.8740234375,-2.671875,0.5625,2.296875,-0.9521484375,-1.98974609375,-0.435546875,-0.340625,3.2171875,15.0859375,0.1498046875,0.006982421875,0.182666015625,1.9120585456372523,2.1985885870652586,8.70905053989375,0.7291601198901598,1.5814884723003733,0.4233377756050901,39.9875303,18.246274199999995,1
12,5.609375,7.375,27.265625,0.908203125,1.8193359375,0.97119140625,-4.375,-2.609375,3.5625,-2.44775390625,-1.4658203125,-0.19775390625,0.2375,0.915625,15.2125,-0.41630859375,0.35009765625,0.378759765625,2.8484184055707904,2.8433989404799007,7.119603828904776,0.9801286125127884,0.9663872292998305,0.4025779495158266,39.9875303,18.246274199999995,1
13,2.140625,3.796875,16.84375,0.859375,1.208984375,0.421875,-0.5625,-0.390625,8.84375,-1.02392578125,-1.31640625,-0.8291015625,0.5484375,1.11875,14.4140625,-0.206494140625,-0.257861328125,-0.376220703125,1.02962967191351,1.1582471490719644,2.707604569419301,0.5700523421773588,0.6437185981441208,0.452380229655384,39.9875303,18.246274199999995,1
14,2.0,3.875,21.65625,1.115234375,1.66796875,-0.16552734375,-10.046875,-2.984375,10.8125,-1.21826171875,-1.65380859375,-2.30078125,-3.384375,0.8125,14.26875,0.170166015625,-0.0603515625,-1.147314453125,3.99666337616281,2.273018348626875,3.0041457176800788,0.7245494249923612,0.9829943951032698,0.823014428170499,39.9875303,18.246274199999995,1
15,8.921875,3.109375,16.15625,1.96875,2.76953125,2.552734375,-0.296875,-4.296875,13.390625,-0.025390625,-0.8916015625,-0.0146484375,2.109375,-0.025,15.0640625,0.374658203125,0.1123046875,0.688232421875,3.6013280608802267,2.074096711857692,0.8408982801354289,0.6503424814077132,0.9997540012415322,1.032130889484824,39.9875303,18.246274199999995,1
16,0.0,-0.140625,15.640625,0.005859375,-0.0078125,-0.00537109375,-0.25,-0.375,15.1875,-0.00146484375,-0.0146484375,-0.00927734375,-0.1359375,-0.246875,15.459375,0.003173828125,-0.01201171875,-0.008203125,0.0963330494877594,0.0750433902263661,0.125476522261692,0.0022346240588779,0.0019558357924218,0.0013382034369202,39.9875303,18.246274199999995,0
17,-0.25,-0.140625,15.65625,0.00341796875,-0.01171875,-0.00830078125,-0.28125,-0.328125,15.53125,0.00244140625,-0.013671875,-0.00927734375,-0.253125,-0.159375,15.54375,0.0033203125,-0.0119140625,-0.0091796875,0.0098821176880261,0.0592927061281571,0.0395284707521047,0.0003088161777508,0.0006176323555016,0.0003088161777508,39.9875303,18.246274199999995,0
18,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,0.0,0.0,0.0,0.0,0.0,0.0,39.9875303,18.246274199999995,0
19,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,-0.25,-0.140625,15.53125,0.00341796875,-0.01171875,-0.00927734375,0.0,0.0,0.0,0.0,0.0,0.0,39.9875303,18.2462742,0
